,country,Code,Year,tertiary percentage,secondary percentage,primary percentage
226,Japan,JPN,1990,12.48,95.6246337890625,99.9699020385742
227,Japan,JPN,1995,14.28,100.856689453125,99.9591674804688
228,Japan,JPN,2000,16.15,101.834098815918,99.97020721435553
229,Japan,JPN,2005,17.88,100.998527526855,99.9993515014648
230,Japan,JPN,2010,18.91,101.609497070313,99.94351196289058
231,Jordan,JOR,1975,2.73,58.23751068115229,95.0311508178711
232,Jordan,JOR,1980,2.91,77.581657409668,95.60562133789058
233,Jordan,JOR,1985,3.81,81.4623718261719,90.66763305664058
234,Jordan,JOR,2000,3.74,86.02574920654301,98.9402008056641
235,Jordan,JOR,2005,3.98,91.01516723632808,98.91098022460942
236,Jordan,JOR,2010,3.8,88.5193710327148,89.7488784790039
237,Kazakhstan,KAZ,2000,8.42,93.3952484130859,94.1336517333984
238,Kazakhstan,KAZ,2010,14.03,97.7344970703125,99.652587890625
239,Kenya,KEN,2000,2.26,39.3118286132813,66.0325393676758
240,Kenya,KEN,2005,2.84,47.898799896240206,88.6448287963867
241,Kuwait,KWT,1975,2.54,58.0200881958008,69.61566162109379
242,Kuwait,KWT,1980,3.96,78.8075637817383,81.8810577392578
243,Kuwait,KWT,1985,6.1,87.5041732788085,88.0001983642578
244,Kuwait,KWT,2000,5.39,98.7247924804688,97.1722183227539
245,Kuwait,KWT,2005,4.18,110.459770202637,96.104621887207
246,Kuwait,KWT,2010,4.28,93.5052871704102,98.0363998413086
247,Kyrgyzstan,KGZ,2000,6.81,84.369987487793,93.26510620117192
248,Kyrgyzstan,KGZ,2005,7.56,86.2731781005859,95.12741088867192
249,Kyrgyzstan,KGZ,2010,9.0,86.59747314453129,94.5401763916016
250,Laos,LAO,1990,1.9,23.2434005737305,64.9222030639648
251,Laos,LAO,2000,2.0,34.214920043945305,75.6953811645508
252,Laos,LAO,2005,2.51,43.5884895324707,80.6172866821289
253,Laos,LAO,2010,3.3,46.12401962280271,94.2166290283203
254,Latvia,LVA,2010,12.42,98.34375,99.3161773681641
255,Lesotho,LSO,1970,0.05,10.9428195953369,60.0874214172363
256,Lesotho,LSO,1980,0.19,16.679639816284197,62.6027603149414
257,Lesotho,LSO,1985,0.29,21.6004104614258,69.9093780517578
258,Lesotho,LSO,1990,0.39,25.290899276733303,71.7587127685547
259,Lesotho,LSO,1995,0.54,31.659240722656303,71.2316436767578
260,Lesotho,LSO,2000,0.62,32.4483985900879,80.4165420532227
261,Lesotho,LSO,2005,0.64,39.5876007080078,77.51576232910159
262,Lesotho,LSO,2010,0.76,50.40238189697271,79.0310287475586
263,Libya,LBY,1975,0.46,42.210929870605504,93.8586807250977
264,Libya,LBY,1980,1.06,69.5933303833008,96.873161315918
265,Lithuania,LTU,2000,8.58,98.0920562744141,99.8379669189453
266,Lithuania,LTU,2005,13.51,104.166862487793,92.1345596313477
267,Lithuania,LTU,2010,15.6,100.963989257813,99.9745407104492
268,Luxembourg,LUX,1975,4.66,58.31494140625,91.2517318725586
269,Luxembourg,LUX,2000,9.35,97.0613327026367,97.7478179931641
270,Luxembourg,LUX,2005,13.29,95.3651885986328,98.3014678955078
271,Luxembourg,LUX,2010,18.54,101.346168518066,95.7609710693359
272,Macao,MAC,1990,3.3,60.8881301879883,84.63880920410159
273,Malawi,MWI,2005,0.18,27.2850494384766,98.2278594970703
274,Malaysia,MYS,1970,0.61,33.8156318664551,84.2453308105469
275,Malaysia,MYS,2000,3.18,66.1592330932617,97.814338684082
276,Malaysia,MYS,2005,4.45,68.7168197631835,96.811653137207
277,Malaysia,MYS,2010,5.81,66.88104248046879,94.56539916992192
278,Maldives,MDV,2000,0.16,51.273509979248,97.9394683837891
279,Mali,MLI,2005,0.68,25.5525207519531,56.11360168457029
280,Mali,MLI,2010,0.78,38.7725791931152,67.9807510375977
281,Malta,MLT,1975,3.31,74.2362594604492,87.9929733276367
282,Malta,MLT,1980,3.81,71.3129806518555,98.93466186523442
283,Malta,MLT,1985,4.4,80.2410202026367,96.23690795898442
284,Malta,MLT,1990,5.39,81.23341369628909,97.6247100830078
285,Malta,MLT,1995,6.5,86.2682723999023,95.7996826171875
286,Mauritania,MRT,1995,0.93,15.3898801803589,53.7112312316895
287,Mauritania,MRT,2000,1.17,18.0380001068115,59.8535499572754
288,Mauritania,MRT,2005,1.11,22.2522792816162,70.6530075073242
289,Mauritania,MRT,2010,0.97,20.3284797668457,70.2421798706055
290,Mauritius,MUS,1975,0.51,37.61299896240229,80.05567932128909
291,Mauritius,MUS,1980,0.77,50.0448989868164,79.2611389160156
292,Mauritius,MUS,1985,1.11,44.45500183105471,99.9089889526367
293,Mauritius,MUS,1990,0.63,52.409141540527294,97.178092956543
294,Mauritius,MUS,2000,0.89,76.8169326782227,99.7737503051758
295,Mauritius,MUS,2005,1.6,88.6555633544922,99.3533782958984
296,Mauritius,MUS,2010,1.88,89.2469635009766,98.94210815429692
297,Mexico,MEX,1985,3.58,55.185791015625,94.3071975708008
298,Mexico,MEX,1990,3.87,52.6773681640625,97.0574798583984
299,Mexico,MEX,1995,5.12,56.8006401062012,96.5403289794922
